Month,Day,Sunrise,Sunrise Hour,Sunrise Minute,Sunset Hour,Sunset Minute,Solar Noon Hour,Solar Noon Minute
Oct,1,7:13 am,7,13,6:51 pm,18,51,1:02 pm,13,2
Oct,2,7:15 am,7,15,6:48 pm,18,48,1:02 pm,13,2
Oct,3,7:16 am,7,16,6:46 pm,18,46,1:02 pm,13,2
Oct,4,7:18 am,7,18,6:44 pm,18,44,1:01 pm,13,1
Oct,5,7:19 am,7,19,6:42 pm,18,42,1:01 pm,13,1
Oct,6,7:21 am,7,21,6:40 pm,18,40,1:01 pm,13,1
Oct,7,7:22 am,7,22,6:38 pm,18,38,1:01 pm,13,1
Oct,8,7:23 am,7,23,6:36 pm,18,36,1:00 pm,13,0
Oct,9,7:25 am,7,25,6:34 pm,18,34,1:00 pm,13,0
Oct,10,7:26 am,7,26,6:32 pm,18,32,1:00 pm,13,0
Oct,11,7:28 am,7,28,6:30 pm,18,30,12:59 pm,12,59
Oct,12,7:29 am,7,29,6:28 pm,18,28,12:59 pm,12,59
Oct,13,7:31 am,7,31,6:26 pm,18,26,12:59 pm,12,59
Oct,14,7:32 am,7,32,6:24 pm,18,24,12:59 pm,12,59
Oct,15,7:34 am,7,34,6:22 pm,18,22,12:59 pm,12,59
Oct,16,7:35 am,7,35,6:21 pm,18,21,12:58 pm,12,58
Oct,17,7:37 am,7,37,6:19 pm,18,19,12:58 pm,12,58
Oct,18,7:38 am,7,38,6:17 pm,18,17,12:58 pm,12,58
Oct,19,7:40 am,7,40,6:15 pm,18,15,12:58 pm,12,58
Oct,20,7:41 am,7,41,6:13 pm,18,13,12:58 pm,12,58
Oct,21,7:43 am,7,43,6:11 pm,18,11,12:57 pm,12,57
Oct,22,7:44 am,7,44,6:09 pm,18,9,12:57 pm,12,57
Oct,23,7:46 am,7,46,6:08 pm,18,8,12:57 pm,12,57
Oct,24,7:48 am,7,48,6:06 pm,18,6,12:57 pm,12,57
Oct,25,7:49 am,7,49,6:04 pm,18,4,12:57 pm,12,57
Oct,26,7:51 am,7,51,6:02 pm,18,2,12:57 pm,12,57
Oct,27,7:52 am,7,52,6:01 pm,18,1,12:57 pm,12,57
Oct,28,7:54 am,7,54,5:59 pm,17,59,12:57 pm,12,57
Oct,29,7:55 am,7,55,5:57 pm,17,57,12:57 pm,12,57
Oct,30,7:57 am,7,57,5:56 pm,17,56,12:57 pm,12,57
Oct,31,7:58 am,7,58,5:54 pm,17,54,12:57 pm,12,57
